Query Recipe,Query Ingredients,Model,Rank,Recommended Recipe,Recommended Ingredients,predicted_relevance_tfidf,relevance_tfidf,Recommended Recipe W2V,Recommended Ingredients W2V,predicted_relevance_word2vec,relevance_word2vec
Полтавский луковый пирог от Олега Кензова,"масло сливочное, мука, разрыхлитель, сода, уксус, сметана, желток, лук, яйца отварные, масло сливочное, соль, перец чёрный молотый, зелень петрушки, лук зелёный...",TF-IDF,5,Ленивые вареники с картофелем,Картофель Яйцо куриное Пшеничная мука Соль Перец черный молотый Зелень Сметана,0.5056181386781111,"0,50",Котлеты из нута и мясного фарша,Фарш Нут Лук Чеснок Яйцо куриное Зелень Соль Смесь перцев Растительное масло Пшеничная мука,0.6049543619155884,"0,00"
Полтавский луковый пирог от Олега Кензова,"масло сливочное, мука, разрыхлитель, сода, уксус, сметана, желток, лук, яйца отварные, масло сливочное, соль, перец чёрный молотый, зелень петрушки, лук зелёный...",TF-IDF,6,Вареники с картошкой и печенью,Пшеничная мука Сметана Соль Вода Картофель Сода Лук Печень Сливочное масло Перец черный молотый,0.4669952352271649,"0,00",Картофельная запеканка по‑простецки,Фарш Картофель Лук Майонез Соль Перец черный молотый,0.6048407554626465,"0,00"
Полтавский луковый пирог от Олега Кензова,"масло сливочное, мука, разрыхлитель, сода, уксус, сметана, желток, лук, яйца отварные, масло сливочное, соль, перец чёрный молотый, зелень петрушки, лук зелёный...",TF-IDF,7,Французские говяжьи котлеты,Говяжий фарш Лук Яйцо куриное Сметана Майонез Пшеничная мука Соль Перец черный молотый Сода,0.4645387157371787,"0,00","Картофель отварной, с маслом и зеленью",Картофель Сливочное масло Соль Зелень,0.6031171679496765,"0,00"
Полтавский луковый пирог от Олега Кензова,"масло сливочное, мука, разрыхлитель, сода, уксус, сметана, желток, лук, яйца отварные, масло сливочное, соль, перец чёрный молотый, зелень петрушки, лук зелёный...",TF-IDF,8,Тесто для вареников и пельменей на сметане,Сметана Соль Пшеничная мука Сода,0.46358597496273113,"0,00",Фрикадельки в клюквенно-медовом соусе в духовке,Говяжий фарш Клюква Помидоры Мед Оливковое масло Сливочное масло Чеснок Лук Соль Перец черный молотый Укроп,0.5997328758239746,"0,00"
Полтавский луковый пирог от Олега Кензова,"масло сливочное, мука, разрыхлитель, сода, уксус, сметана, желток, лук, яйца отварные, масло сливочное, соль, перец чёрный молотый, зелень петрушки, лук зелёный...",TF-IDF,9,Заливной пирог с луком и яйцом,"Сметана 350 г Сливочное масло 150 г Пшеничная мука 280 г Яйцо куриное 6 штук Разрыхлитель 1,5 чайные ложки Соль ½ чайной ложки Сахар по вкусу Зеленый лук 1 пучок ",0.45783156772604194,"1,00",Мясной шашлык в мультиварке,Мясо Лук репчатый Уксус Приправы Зелень Соль Перец черный молотый,0.5952990055084229,"0,00"
Полтавский луковый пирог от Олега Кензова,"масло сливочное, мука, разрыхлитель, сода, уксус, сметана, желток, лук, яйца отварные, масло сливочное, соль, перец чёрный молотый, зелень петрушки, лук зелёный...",TF-IDF,10,Грибное рагу,Свежие грибы Картофель Сметана Лук репчатый Зелень Соль Перец черный молотый Растительное масло,0.4447400384198086,"0,00",Тушеные баклажаны со сметаной и зеленью,Баклажаны Лук Чеснок Сметана Соль Зелень,0.594996452331543,"0,00"
Заправка для салатов,"йогурт натуральный, горчица, сок лимона, масло подсолнечное, соль, перец чёрный молотый",TF-IDF,1,Легкий салат с помидорами и сельдереем,"Помидоры 2 штуки Стебель сельдерея 2 штуки Натуральный йогурт 1 столовая ложка Лимонный сок 1,2 чайные ложки Перец черный молотый по вкусу Горчица 1,2 чайные ложки ",0.6323032416186873,"0,00",Бразильский стейк пиканья,Пиканья Чеснок Лимонный сок Оливковое масло Соль Перец черный молотый,0.8639715909957886,"0,00"
Заправка для салатов,"йогурт натуральный, горчица, сок лимона, масло подсолнечное, соль, перец чёрный молотый",TF-IDF,2,Домашний йогурт,Молоко 1 л Натуральный йогурт 1 столовая ложка,0.6257822071323895,"0,50",Запеченная камбала,Камбала Молотая паприка Перец черный молотый Лимонный сок Соль Сушеный укроп Яблочный уксус Соевый соус,0.857787013053894,"0,00"
Заправка для салатов,"йогурт натуральный, горчица, сок лимона, масло подсолнечное, соль, перец чёрный молотый",TF-IDF,3,Запеченая грудка индейки,Филе индейки Горчица Натуральный йогурт Сладкий перец Укроп Петрушка Соль Перец черный молотый Молотый душистый перец,0.6143217998228946,"0,50",Сибас на гриле,Сибас Соль Перец черный молотый Майонез Лимонный сок,0.857569694519043,"0,00"
Заправка для салатов,"йогурт натуральный, горчица, сок лимона, масло подсолнечное, соль, перец чёрный молотый",TF-IDF,4,Диетическое мясо по‑французски,Куриное филе Помидоры Яйцо куриное Сыр Натуральный йогурт Перец черный молотый Соль Оливковое масло,0.6137391057364945,"0,00",Жареная курица,Топленое масло Курица Соль Перец черный молотый Лимонный сок Шпик,0.8573389053344727,"0,00"
Заправка для салатов,"йогурт натуральный, горчица, сок лимона, масло подсолнечное, соль, перец чёрный молотый",TF-IDF,5,Куриной филе в кунжуте,Куриное филе Твердый сыр Кунжутные семечки Натуральный йогурт Горчица Яйцо куриное Соль Перец черный молотый,0.5896917055467749,"0,00","Кускус с чили, зеленью и лимонным соком",Кускус Перец чили Петрушка Оливковое масло Соль Перец черный молотый Лимонный сок,0.8539183735847473,"0,00"
Заправка для салатов,"йогурт натуральный, горчица, сок лимона, масло подсолнечное, соль, перец чёрный молотый",TF-IDF,6,Медово-йогуртовый соус с горчицей к курице на гриле,Натуральный йогурт ¼ стакана Мед 2 столовые ложки Дижонская горчица 2 столовые ложки Свежемолотый черный перец по вкусу,0.5825258881423406,"1,00",Свинина в медовой глазури,Свиное филе Апельсины Топленое масло Сливочное масло Чеснок Лимонный сок Мед Соевый соус Соль Перец черный молотый,0.8531046509742737,"0,00"
Заправка для салатов,"йогурт натуральный, горчица, сок лимона, масло подсолнечное, соль, перец чёрный молотый",TF-IDF,7,Креветки в йогуртово0м соусе с чесноком и кинзой,Креветки Натуральный йогурт Чеснок Лимонный сок Кинза Соль,0.5805397623354918,"0,50",Курица в медово-лимонной глазури,Курица Крупная соль Лимонный сок Свежемолотый черный перец Мед,0.8528085947036743,"0,00"
Заправка для салатов,"йогурт натуральный, горчица, сок лимона, масло подсолнечное, соль, перец чёрный молотый",TF-IDF,8,Шаверма с йогуртом,Помидоры Куриная грудка Огурцы Натуральный йогурт Горчица Армянский лаваш Чеснок Карри Лимонный сок Перец черный молотый,0.5542925044117929,"0,50",Стейк из маринованной пашины на хлебе с вялеными томатами и чесноком,Пашина Сухая горчица Соевый соус Мед Лимонный сок Сливочное масло Растительное масло Чеснок Вяленые помидоры в масле Хлеб из кислого теста Соль Перец черный молотый,0.8516198396682739,"0,00"
Заправка для салатов,"йогурт натуральный, горчица, сок лимона, масло подсолнечное, соль, перец чёрный молотый",TF-IDF,9,Заправка для салата с йогуртом и винным уксусом,Винный уксус 2 столовые ложки Натуральный йогурт ⅓ стакана Оливковое масло 1 столовая ложка Соль по вкусу Перец черный молотый по вкусу,0.5514082741532773,"1,00",Куриное филе в медовом маринаде с лимонным соком,Куриная грудка Мед Соль Растительное масло Перец черный молотый Лимонный сок Приправы,0.8466246724128723,"0,00"
Заправка для салатов,"йогурт натуральный, горчица, сок лимона, масло подсолнечное, соль, перец чёрный молотый",TF-IDF,10,"Болгарские перцы, фаршированные куриным фаршем с овощами и зеленью",Сладкий перец Куриный фарш Помидоры Зеленый лук Укроп Сыр Соль Перец черный молотый Натуральный йогурт,0.5466364825179629,"0,00","Креветки с греческим йогуртом, чесноком и кинзой",Кинза Греческий йогурт Лимонный сок Чеснок Кайенский перец Соль Перец черный молотый Очищенные креветки Оливковое масло,0.8459352254867554,"0,00"
"Салат на день рождения, с крабовыми палочками и яблоком","крабовые палочки, яблоко, майонез, яйца, сыр твёрдый, лук репчатый красный, масло оливковое, яйца, крабовые палочки, оливки",TF-IDF,1,Слоеный салат с помидорами и крабовыми палочками,Помидоры 300 г Крабовые палочки 200 г Чеснок 2 зубчика Твердый сыр 300 г Майонез по вкусу,0.6460441065980069,"1,00",Котлеты из крабовых палочек с сыром,Крабовые палочки Сыр Яйцо куриное Чеснок Панировочные сухари,0.6787586808204651,"1,00"
"Салат на день рождения, с крабовыми палочками и яблоком","крабовые палочки, яблоко, майонез, яйца, сыр твёрдый, лук репчатый красный, масло оливковое, яйца, крабовые палочки, оливки",TF-IDF,2,"Салат из ананасов, крабовых палочек и сыра",Крабовые палочки 250 г Консервированный ананас 450 г Твердый сыр 200 г Майонез 200 г,0.6096040509234608,"1,00",Котлеты из крабовых палочек с твердым сыром,Крабовые палочки Твердый сыр Яйцо куриное Чеснок Панировочные сухари Растительное масло,0.6529656648635864,"1,00"
"Салат на день рождения, с крабовыми палочками и яблоком","крабовые палочки, яблоко, майонез, яйца, сыр твёрдый, лук репчатый красный, масло оливковое, яйца, крабовые палочки, оливки",TF-IDF,3,Салат «Аншлаг»,Шампиньоны 250 г Крабовые палочки 250 г Яблоко 150 г Яйцо куриное 4 штуки Майонез по вкусу,0.5873074924279662,"1,00",Картофель по‑андалузски,Картофель Маринованные огурцы Маринованные грибы Консервированный тунец в масле Оливки Майонез Зелень Сыр,0.6464124917984009,"0,00"
"Салат на день рождения, с крабовыми палочками и яблоком","крабовые палочки, яблоко, майонез, яйца, сыр твёрдый, лук репчатый красный, масло оливковое, яйца, крабовые палочки, оливки",TF-IDF,4,Слоеный салат из крабовых палочек с яблоком,Картофель 3 штуки Лук репчатый 1 штука Крабовые палочки 200 г Яблоко 1 штука Яйцо куриное 3 штуки Майонез 50 г,0.5759117958346891,"1,00",Шампиньоны фаршированные с помидором и сыром,Шампиньоны Помидоры Российский сыр Майонез,0.6149311065673828,"0,00"
"Салат на день рождения, с крабовыми палочками и яблоком","крабовые палочки, яблоко, майонез, яйца, сыр твёрдый, лук репчатый красный, масло оливковое, яйца, крабовые палочки, оливки",TF-IDF,5,Салат с омлетом,Яйцо куриное 5 штук Сыр 500 г Сметана 250 г Крабовые палочки 400 г Майонез по вкусу,0.5758978433982639,"1,00",Запеченный в духовке картофель с луком и сыром,Картофель Лук репчатый Специи Сыр Майонез,0.6117736101150513,"0,00"
"Салат на день рождения, с крабовыми палочками и яблоком","крабовые палочки, яблоко, майонез, яйца, сыр твёрдый, лук репчатый красный, масло оливковое, яйца, крабовые палочки, оливки",TF-IDF,6,Крабово-сырный салат шариками,Сыр 100 г Крабовые палочки 200 г Яйцо куриное 2 штуки Чеснок 1 зубчик Майонез по вкусу,0.5693016492405503,"1,00","Запеченный перец, фаршированный брынзой",Яйцо куриное Сладкий перец Зелень Сыр брынза Помидоры,0.6113015413284302,"0,00"
"Салат на день рождения, с крабовыми палочками и яблоком","крабовые палочки, яблоко, майонез, яйца, сыр твёрдый, лук репчатый красный, масло оливковое, яйца, крабовые палочки, оливки",TF-IDF,7,Закуска из крабовых палочек с сырно-чесночной начинкой,Крабовые палочки 12 штук Твердый сыр 300 г Майонез 200 г Зеленый лук 1 пучок Укроп 1 пучок Чеснок 3 зубчика,0.5470891061948788,"1,00",Крабовые котлеты с сыром,Сметана Крабовые палочки Яйцо куриное Панировочные сухари Соль Твердый сыр Перец черный молотый,0.6070443391799927,"1,00"
"Салат на день рождения, с крабовыми палочками и яблоком","крабовые палочки, яблоко, майонез, яйца, сыр твёрдый, лук репчатый красный, масло оливковое, яйца, крабовые палочки, оливки",TF-IDF,8,Закуска из крабовых палочек с сыром и зеленью,Крабовые палочки 12 штук Твердый сыр 300 г Майонез 200 г Зеленый лук 1 пучок Укроп 1 пучок Чеснок 4 зубчика,0.5470891061948788,"1,00",Рисовая запеканка с колбасой и сыром,Рис Вареная колбаса Тертый твердый сыр Яйцо куриное Помидоры Майонез Соль Перец черный молотый,0.6056474447250366,"0,00"
"Салат на день рождения, с крабовыми палочками и яблоком","крабовые палочки, яблоко, майонез, яйца, сыр твёрдый, лук репчатый красный, масло оливковое, яйца, крабовые палочки, оливки",TF-IDF,9,"Салат с картофелем, крабовыми палочками и яблоками",Картофель 3 штуки Яйцо куриное 4 штуки Яблоко 1 штука Крабовые палочки 200 г Тертый твердый сыр 200 г Майонез 250 г Соль по вкусу Маринованные огурцы 2 штуки,0.5434153521447733,"1,00",Печеный картофель с сырными шариками,Картофель Сливочное масло Сыр Измельченный укроп Чеснок Соль Майонез,0.6024038791656494,"0,00"
"Салат на день рождения, с крабовыми палочками и яблоком","крабовые палочки, яблоко, майонез, яйца, сыр твёрдый, лук репчатый красный, масло оливковое, яйца, крабовые палочки, оливки",TF-IDF,10,Салат с крабовыми палочками и яблоками,Крабовые палочки 400 г Яйцо куриное 3 штуки Яблоко 300 г Маринованные огурцы 200 г Майонез по вкусу,0.5430489154750517,"1,00",Лодочки из кабачков,Кабачки Фарш Помидоры Сыр Зелень Специи для салата Растительное масло,0.6019759178161621,"0,00"
"Закуска ""Тюльпаны""","помидоры, сыр твёрдый, чеснок, майонез, лук зелёный",TF-IDF,1,Тарталетки из картофеля с куриным филе под чесночно-сырным соусом,Майонез Куриное филе Чеснок Картофель Зеленый лук Твердый сыр Соль,0.8246857058902813,"0,50","Овощной тарт с помидорами, болгарским перцем, луком",Слоеное тесто Сладкий перец Помидоры Лук Укроп Зеленый лук Соль Сыр Чеснок,0.7494454383850098,"1,00"
"Закуска ""Тюльпаны""","помидоры, сыр твёрдый, чеснок, майонез, лук зелёный",TF-IDF,2,Сыр по‑еврейски,Твердый сыр 300 г Чеснок 3 зубчика Майонез 200 г,0.8144754293911659,"1,00","Баклажаны с фаршем, запеченные в духовке",Фарш Баклажаны Лук Помидоры Сыр Чеснок Майонез,0.7452695369720459,"0,50"
"Закуска ""Тюльпаны""","помидоры, сыр твёрдый, чеснок, майонез, лук зелёный",TF-IDF,3,Еврейский чесночный салат,Майонез 2 столовые ложки Твердый сыр 200 г Чеснок 2 зубчика Морковь 100 г,0.7212983489155523,"1,00",Запеченная курица с помидорами,Помидоры Курица Укроп Петрушка Зеленый лук Соль,0.7378517389297485,"0,00"
"Закуска ""Тюльпаны""","помидоры, сыр твёрдый, чеснок, майонез, лук зелёный",TF-IDF,4,Помидоры с сыром,Помидоры 3 штуки Твердый сыр 100 г Майонез 3 столовые ложки,0.7096820549548437,"1,00","Мясо, запеченное под шубой из кабачков",Кабачки Лук Чеснок Зелень Майонез Мясо Перец черный молотый Соль Помидоры Тертый сыр,0.7378301620483398,"0,50"
"Закуска ""Тюльпаны""","помидоры, сыр твёрдый, чеснок, майонез, лук зелёный",TF-IDF,5,Слоеная куриная запеканка с яблоками,Лук репчатый Куриный фарш Зеленые яблоки Твердый сыр Майонез,0.7048959082044788,"0,50",Вегетарианские такос,Рубленная кинза (кориандр) Оливковое масло Лук Стебель сельдерея Свежий красный перец Зеленый перец Перец халапеньо Мелко рубленный чеснок Бобы Соус сальса Тмин Лепешки «Тако» Сыр чеддер Острый тайский соус Помидоры Маслины Сметана,0.7330599427223206,"0,00"
"Закуска ""Тюльпаны""","помидоры, сыр твёрдый, чеснок, майонез, лук зелёный",TF-IDF,6,"Салат с помидорами, сыром и чесноком",Помидоры 2 штуки Зеленый салат 1 пучок Твердый сыр 100 г Чеснок 3 зубчика Майонез по вкусу,0.6943002146043866,"1,00",Кабачки с сыром и морковью,Кабачки Сыр Морковь Чеснок Майонез Оливковое масло,0.7328354120254517,"0,00"
"Закуска ""Тюльпаны""","помидоры, сыр твёрдый, чеснок, майонез, лук зелёный",TF-IDF,7,Свинина по‑французски,Лук репчатый Свинина Твердый сыр Майонез,0.659130639284752,"0,50",Паста «Рататуй»,Баклажаны Цукини Красный сладкий перец Красный лук Чеснок Оливковое масло Помидоры Паста пенне Зеленый базилик Соль,0.7324682474136353,"0,00"
"Закуска ""Тюльпаны""","помидоры, сыр твёрдый, чеснок, майонез, лук зелёный",TF-IDF,8,Курица по‑купечески,Куриное филе Чеснок Твердый сыр Майонез Сливочное масло Зелень,0.6578768233992622,"0,50",Печеные сырные кабачки с помидорами и чесночным соусом,Кабачки Сыр Помидоры Майонез Сметана Чеснок,0.7243183851242065,"1,00"
"Закуска ""Тюльпаны""","помидоры, сыр твёрдый, чеснок, майонез, лук зелёный",TF-IDF,9,"Перец, фаршированный сыром",Сладкий перец 3 штуки Твердый сыр 150 г Чеснок 2 зубчика Майонез 30 г Укроп 30 г,0.650074884257531,"1,00",Картофельные оладушки с зеленью,Зеленый лук Картофель Лимон Оливковое масло Петрушка Чеснок,0.7241784930229187,"0,00"
"Закуска ""Тюльпаны""","помидоры, сыр твёрдый, чеснок, майонез, лук зелёный",TF-IDF,10,Картошка с грибами и майонезом,Картофель Грибы Майонез Твердый сыр Растительное масло Соль Чеснок,0.6463341437247895,"0,00","Макароны, запеченные с помидорами, под сыром",Макароны Чеснок Черный перец горошком Сыр Помидоры Майонез,0.7208097577095032,"0,00"
"Новогодний салат ""Подкова""","куриное филе, яйцо куриное, морковка корейская, лук красный, майонез, сыр твёрдый, огурцы, редис, оливки зеленые, яйцо перепелиное, помидоры",TF-IDF,1,Нежные куриные шарики в сырно-сливочном соусе,Куриное филе Лук Яйцо куриное Чеснок Сливки Твердый сыр,0.5572269013551132,"1,00","Запеченный перец, фаршированный брынзой",Яйцо куриное Сладкий перец Зелень Сыр брынза Помидоры,0.7938731908798218,"0,00"
"Новогодний салат ""Подкова""","куриное филе, яйцо куриное, морковка корейская, лук красный, майонез, сыр твёрдый, огурцы, редис, оливки зеленые, яйцо перепелиное, помидоры",TF-IDF,2,Куриные шарики в сырно-сливочном соусе с луком,Куриное филе Лук Яйцо куриное Чеснок Сливки Твердый сыр,0.5572269013551132,"1,00",Овощная запеканка по‑абхазски,Картофель Кабачки Баклажаны Помидоры Аджика Майонез Яйцо куриное Сыр Зелень,0.7934619784355164,"0,00"
"Новогодний салат ""Подкова""","куриное филе, яйцо куриное, морковка корейская, лук красный, майонез, сыр твёрдый, огурцы, редис, оливки зеленые, яйцо перепелиное, помидоры",TF-IDF,3,Куриные шарики в сливочном соусе,Лук репчатый Куриное филе Яйцо куриное Чеснок Сливки Твердый сыр,0.534888867141285,"1,00",Печеные сырные кабачки с помидорами и чесночным соусом,Кабачки Сыр Помидоры Майонез Сметана Чеснок,0.7811566591262817,"0,00"
"Новогодний салат ""Подкова""","куриное филе, яйцо куриное, морковка корейская, лук красный, майонез, сыр твёрдый, огурцы, редис, оливки зеленые, яйцо перепелиное, помидоры",TF-IDF,4,Тарталетки из картофеля с куриным филе под чесночно-сырным соусом,Майонез Куриное филе Чеснок Картофель Зеленый лук Твердый сыр Соль,0.528337837062492,"1,00",Лодочки из кабачков,Кабачки Фарш Помидоры Сыр Зелень Специи для салата Растительное масло,0.7751486301422119,"0,00"
"Новогодний салат ""Подкова""","куриное филе, яйцо куриное, морковка корейская, лук красный, майонез, сыр твёрдый, огурцы, редис, оливки зеленые, яйцо перепелиное, помидоры",TF-IDF,5,Помидоры с сыром,Помидоры 3 штуки Твердый сыр 100 г Майонез 3 столовые ложки,0.5250112420838997,"0,50",Шампиньоны фаршированные с помидором и сыром,Шампиньоны Помидоры Российский сыр Майонез,0.771786093711853,"0,00"
"Новогодний салат ""Подкова""","куриное филе, яйцо куриное, морковка корейская, лук красный, майонез, сыр твёрдый, огурцы, редис, оливки зеленые, яйцо перепелиное, помидоры",TF-IDF,6,Быстрый салат с курицей,Куриное филе 2 штуки Помидоры 2 штуки Твердый сыр 100 г Чеснок 2 зубчика Майонез по вкусу Соль по вкусу,0.5137595641697733,"1,00",Картофель по‑андалузски,Картофель Маринованные огурцы Маринованные грибы Консервированный тунец в масле Оливки Майонез Зелень Сыр,0.7712083458900452,"0,00"
"Новогодний салат ""Подкова""","куриное филе, яйцо куриное, морковка корейская, лук красный, майонез, сыр твёрдый, огурцы, редис, оливки зеленые, яйцо перепелиное, помидоры",TF-IDF,7,Куриный салат с шампиньонами и сыром,Лук репчатый 1 штука Консервированные шампиньоны 350 г Яйцо куриное 1 штука Чеснок 1 зубчик Твердый сыр 100 г Куриное филе 600 г Майонез по вкусу,0.5068766753849019,"1,00",Свинина по‑домашнему,Свинина Лук Морковь Майонез Сыр,0.770668625831604,"0,00"
"Новогодний салат ""Подкова""","куриное филе, яйцо куриное, морковка корейская, лук красный, майонез, сыр твёрдый, огурцы, редис, оливки зеленые, яйцо перепелиное, помидоры",TF-IDF,8,Нежные куриные шарики в соусе,Филе куриной грудки Лук Яйцо куриное Чеснок Сливки Твердый сыр,0.5020980983055865,"1,00",Запеканка с баклажанами и свининой,Лук репчатый Свинина Помидоры Баклажаны Картофель Майонез Яйцо куриное Твердый сыр,0.7702695727348328,"0,00"
"Новогодний салат ""Подкова""","куриное филе, яйцо куриное, морковка корейская, лук красный, майонез, сыр твёрдый, огурцы, редис, оливки зеленые, яйцо перепелиное, помидоры",TF-IDF,9,Помидоры в сырном кляре,Помидоры 3 штуки Твердый сыр 150 г Яйцо куриное 2 штуки Майонез 2 столовые ложки Пшеничная мука 2 столовые ложки,0.5020443621843693,"1,00",Индейка по‑французски,Филе индейки Лук Помидоры Сыр Майонез Специи Соль,0.7666519284248352,"0,50"
"Новогодний салат ""Подкова""","куриное филе, яйцо куриное, морковка корейская, лук красный, майонез, сыр твёрдый, огурцы, редис, оливки зеленые, яйцо перепелиное, помидоры",TF-IDF,10,Рисовая запеканка с курицей и сыром,Яйцо куриное Рис Куриное филе Твердый сыр Соль Сливочное масло,0.4997403559596423,"1,00",Курица по‑французски с помидорами,Куриное филе Лук Майонез Сыр Соль Специи Помидоры,0.7655938863754272,"0,50"
"Новогодний салат ""Собачка"" с копченой курицей и грибами","курица копчёная, картофель, морковь, яйца, сыр плавленый, грибы маринованные, майонез, соль, перец чёрный молотый, гвоздика, колбаса, мясо, зелень укропа",TF-IDF,1,Запеченная курица с картофелем и чесноком,Курица Картофель Чеснок Соль Перец черный молотый Майонез,0.5038908428598673,"1,00",Запеченная рыба под овощами,Рыба Картофель Помидоры Майонез Сыр Подсолнечное масло Соль Специи Лук репчатый Морковь Зелень,0.7696690559387207,"0,00"
"Новогодний салат ""Собачка"" с копченой курицей и грибами","курица копчёная, картофель, морковь, яйца, сыр плавленый, грибы маринованные, майонез, соль, перец чёрный молотый, гвоздика, колбаса, мясо, зелень укропа",TF-IDF,2,Курица с картофелем,Картофель Курица Чеснок Майонез Соль Перец черный молотый,0.5038908428598673,"1,00","Мясо картофелем, помидорами и сыром",Помидоры Куриное филе Лук Картофель Чеснок Сыр Зелень Соль Приправы Майонез,0.7684351205825806,"1,00"
"Новогодний салат ""Собачка"" с копченой курицей и грибами","курица копчёная, картофель, морковь, яйца, сыр плавленый, грибы маринованные, майонез, соль, перец чёрный молотый, гвоздика, колбаса, мясо, зелень укропа",TF-IDF,3,Курица по‑французски с картофелем,Зеленый лук Курица Морковь Картофель Майонез Сыр,0.4873123934486036,"0,50",Курица по‑французски с картофелем,Зеленый лук Курица Морковь Картофель Майонез Сыр,0.7633006572723389,"1,00"
"Новогодний салат ""Собачка"" с копченой курицей и грибами","курица копчёная, картофель, морковь, яйца, сыр плавленый, грибы маринованные, майонез, соль, перец чёрный молотый, гвоздика, колбаса, мясо, зелень укропа",TF-IDF,4,Мясо по‑французски с сыром,Мясо Лук репчатый Сыр Майонез Соль Перец черный молотый,0.48380934748161697,"0,50","Мясо, запеченное под шубой из кабачков",Кабачки Лук Чеснок Зелень Майонез Мясо Перец черный молотый Соль Помидоры Тертый сыр,0.7630536556243896,"0,00"
"Новогодний салат ""Собачка"" с копченой курицей и грибами","курица копчёная, картофель, морковь, яйца, сыр плавленый, грибы маринованные, майонез, соль, перец чёрный молотый, гвоздика, колбаса, мясо, зелень укропа",TF-IDF,5,Сырно-овощной суп,Картофель 3 штуки Морковь 2 штуки Соль по вкусу Плавленый сыр 150 г,0.47633302022980295,"0,50",Запеченная индейка с овощами,Индейка Картофель Морковь Чеснок Лук Шампиньоны Зелень Сметана Соль Сыр Перец черный молотый,0.7557500600814819,"0,50"
"Новогодний салат ""Собачка"" с копченой курицей и грибами","курица копчёная, картофель, морковь, яйца, сыр плавленый, грибы маринованные, майонез, соль, перец чёрный молотый, гвоздика, колбаса, мясо, зелень укропа",TF-IDF,6,Картошка-гармошка с грибной начинкой,Картофель Грибы Укроп Перец черный молотый Соль Растительное масло,0.46786397357157206,"0,50",Фаршированный картофель c копченым мясом,Картофель Сыр Зелень Майонез Соль Копчености Помидоры Перец черный молотый,0.7535663843154907,"1,00"
"Новогодний салат ""Собачка"" с копченой курицей и грибами","курица копчёная, картофель, морковь, яйца, сыр плавленый, грибы маринованные, майонез, соль, перец чёрный молотый, гвоздика, колбаса, мясо, зелень укропа",TF-IDF,7,Сырный суп с колбасой,Картофель 4 штуки Лук репчатый 1 головка Морковь 1 штука Полукопченая колбаса 150 г Соль по вкусу Плавленый сыр 200 г Перец черный молотый по вкусу Куриная грудка 200 г,0.46721667896646885,"0,50",Картофель со сметанным соусом и сыром,Картофель Сметана Зелень Чеснок Сыр,0.7504533529281616,"0,00"
"Новогодний салат ""Собачка"" с копченой курицей и грибами","курица копчёная, картофель, морковь, яйца, сыр плавленый, грибы маринованные, майонез, соль, перец чёрный молотый, гвоздика, колбаса, мясо, зелень укропа",TF-IDF,8,Салат оливье с кабачками,Кабачки 150 г Курица 200 г Картофель 200 г Яйцо куриное 4 штуки Зелень 50 г Морковь 1 штука Соль по вкусу Перец черный молотый по вкусу Растительное масло 2 столовые ложки Майонез 100 г,0.4614141628719509,"0,50",Запеченное мясо под шубой,Помидоры Свинина Лук репчатый Картофель Чеснок Сыр брынза Зелень Соль Майонез,0.7469682097434998,"0,50"
"Новогодний салат ""Собачка"" с копченой курицей и грибами","курица копчёная, картофель, морковь, яйца, сыр плавленый, грибы маринованные, майонез, соль, перец чёрный молотый, гвоздика, колбаса, мясо, зелень укропа",TF-IDF,9,Суп с шампиньонами и плавленым сыром,Шампиньоны 200 г Курица 300 г Картофель 2 штуки Лук репчатый 1 штука Морковь 1 штука Сметана 2 столовые ложки Зелень по вкусу Плавленый сырок 100 г Соль по вкусу Перец черный молотый по вкусу,0.4527567272387989,"0,50","Свинина с картофелем, запеченная под сыром на сковороде «по-французски»",Свинина Картофель Лук Чеснок Соль Перец черный молотый Помидоры Сыр Зелень,0.7435621023178101,"0,50"
"Новогодний салат ""Собачка"" с копченой курицей и грибами","курица копчёная, картофель, морковь, яйца, сыр плавленый, грибы маринованные, майонез, соль, перец чёрный молотый, гвоздика, колбаса, мясо, зелень укропа",TF-IDF,10,"Мясо, запеченное под шубой из кабачков",Кабачки Лук Чеснок Зелень Майонез Мясо Перец черный молотый Соль Помидоры Тертый сыр,0.44975960201720905,"0,50",Картофельная запеканка с мясом и сладким луком,Картофель Мясной фарш Лук Майонез Сыр Сладкий красный лук Специи для мяса Соль Перец черный молотый,0.7430522441864014,"0,00"
Селедка под шубой в батоне,"филе сельди, свекла отварная, огурцы солёные, яйца отварные, масло сливочное, сыр плавленый, батон, чеснок, майонез",TF-IDF,1,Чесночные крутоны из белого батона,Батон 500 г Чеснок ½ штуки Оливковое масло 1 столовая ложка,0.5200628615346546,"0,50",Картофель по‑андалузски,Картофель Маринованные огурцы Маринованные грибы Консервированный тунец в масле Оливки Майонез Зелень Сыр,0.8001488447189331,"0,00"
Селедка под шубой в батоне,"филе сельди, свекла отварная, огурцы солёные, яйца отварные, масло сливочное, сыр плавленый, батон, чеснок, майонез",TF-IDF,2,Котлеты в соусе из плавленного сыра,Фарш Лук Яйцо куриное Батон Чеснок Плавленый сыр Смесь итальянских трав Укроп Пшеничная мука,0.4993677175410808,"0,50",Свинина под шубой,Чеснок Сметана Сыр Майонез Картофель Свинина,0.7799959182739258,"0,00"
